"id","crime_type_id","latitude","longitude","city","address","link","occurred_at"
9592632,7,39.215006,-76.620473,"Anne Arundel County","300 HAILE AVE","http://spotcrime.com/crimealert/9592632-bb39be8c1283c0bf5144d8a85918740a","Thu Apr 01 13:36:00 UTC 2010"
9592634,9,39.1184071,-76.618016,"MILLERSVILLE","400 OLD MILL RD #A","http://spotcrime.com/crimealert/9592634-d9fba772d409475d977dde99840e56f3","Thu Apr 01 13:52:00 UTC 2010"
9592635,4,39.1357321,-76.6130058,"Anne Arundel County","200 CROSS CREEK DR","http://spotcrime.com/crimealert/9592635-5a8da03d2dfd3d591f12db343a47eafb","Thu Apr 01 13:14:00 UTC 2010"
9592636,4,39.2230771,-76.6091983,"BROOKLYN PARK","5200 BROOKWOOD RD","http://spotcrime.com/crimealert/9592636-3477ebe6dce0866e0842ff81ef0e5cb4","Thu Apr 01 13:52:00 UTC 2010"
9592637,9,39.1571373,-76.588014,"Anne Arundel County","300 MARLEY NECK RD","http://spotcrime.com/crimealert/9592637-07a893aff34f37586cb676adb2b8262f","Thu Apr 01 14:00:00 UTC 2010"
9592638,9,39.1056809,-76.7021019,"Anne Arundel County","2500 BLUE WATER BLVD","http://spotcrime.com/crimealert/9592638-9089773ba91f9eedb19724aee3e86967","Thu Apr 01 14:17:00 UTC 2010"
9592642,9,39.2464672,-76.6798237,"Anne Arundel County","1700 OLD GEORGETOWN CT","http://spotcrime.com/crimealert/9592642-de086845320c303092d28e294648f7a3","Thu Apr 01 14:36:00 UTC 2010"
9592643,9,39.0767345,-76.6832823,"ODENTON","1100 ANNAPOLIS RD","http://spotcrime.com/crimealert/9592643-78b7c99fdd73cb5e8871da6396f00b0a","Thu Apr 01 14:43:00 UTC 2010"
9592644,7,39.1082857,-76.6927735,"ODENTON","8200 TELEGRAPH RD","http://spotcrime.com/crimealert/9592644-4e965edd52103b79847fe1d645b0f6a7","Thu Apr 01 14:56:00 UTC 2010"
9592646,4,39.214234,-76.6156289,"Anne Arundel County","5800 LEDNURA RD #B","http://spotcrime.com/crimealert/9592646-638e8fd47b2e8f6f252978f6a330f148","Thu Apr 01 14:58:00 UTC 2010"
9592647,7,39.1082857,-76.6927735,"ODENTON","8200 TELEGRAPH RD","http://spotcrime.com/crimealert/9592647-824cbb6aa02c2527798620ee1b7d5ecf","Thu Apr 01 15:06:00 UTC 2010"
9592650,9,39.1622132,-76.5196178,"PASADENA","ROLAND RD/PARK RD","http://spotcrime.com/crimealert/9592650-ee4944fa5e852b05e880245463436697","Thu Apr 01 15:56:00 UTC 2010"
9592651,9,39.08117,-76.691676,"ODENTON","1200 ODENTON RD","http://spotcrime.com/crimealert/9592651-d090da07453d7767bcb4e08d0838632c","Thu Apr 01 15:57:00 UTC 2010"
9592652,9,39.111997,-76.518631,"PASADENA","800 WOODS RD","http://spotcrime.com/crimealert/9592652-1af324e054957cb1cda06c10c78f8dbd","Thu Apr 01 15:59:00 UTC 2010"
9592654,7,39.162431,-76.622754,"GLEN BURNIE","7500 RITCHIE HWY S #109","http://spotcrime.com/crimealert/9592654-458aaa8770055c1647161a41a1a21947","Thu Apr 01 16:10:00 UTC 2010"
9592655,9,39.1794694,-76.6443904,"Anne Arundel County","200 ALLWOOD DR","http://spotcrime.com/crimealert/9592655-45190646502eae6a7481dc154ddc389f","Thu Apr 01 16:31:00 UTC 2010"
9592657,9,39.1291924,-76.7067856,"Anne Arundel County","1700 WOOD CARRIAGE WAY","http://spotcrime.com/crimealert/9592657-1a02bcb02cc6e93c54310235803263be","Thu Apr 01 16:38:00 UTC 2010"
9592659,1,39.1099599,-76.7112699,"Anne Arundel County","200 BAYONET PL","http://spotcrime.com/crimealert/9592659-55d0ac5f15baa41e3b24c99a91076b6d","Thu Apr 01 16:38:00 UTC 2010"
9592661,4,39.128808,-76.669349,"SEVERN","8100 QUARTERFIELD RD","http://spotcrime.com/crimealert/9592661-7308d3626538b3dce729f295b6ed1f5c","Thu Apr 01 17:12:00 UTC 2010"
9592662,4,39.1613642,-76.622844,"Anne Arundel County","200 GREENWAY SE","http://spotcrime.com/crimealert/9592662-303d9a5b48d141daf9037339295fd3e8","Thu Apr 01 16:56:00 UTC 2010"
9592663,9,39.1383931,-76.5734221,"Anne Arundel County","7800 COUTROS CT","http://spotcrime.com/crimealert/9592663-d4e59b5afe0fcd5b7c97dbe8e26517c4","Thu Apr 01 17:05:00 UTC 2010"
9592665,9,39.2275063,-76.6133979,"BROOKLYN PARK","RITCHIE HWY S/7TH AVE","http://spotcrime.com/crimealert/9592665-b20066e6a26f1f9548a1483c3f756464","Thu Apr 01 17:25:00 UTC 2010"
9592666,1,39.216658,-76.6143116,"BROOKLYN PARK","RT2 N/SHORT ST","http://spotcrime.com/crimealert/9592666-eb6f6bdf35d7791d0431d895e7d8605f","Thu Apr 01 17:31:00 UTC 2010"
9592667,9,39.1029484,-76.8158895,"Anne Arundel County","3500 WHISKEY BOTTOM RD","http://spotcrime.com/crimealert/9592667-53feafbecbe9dff5227ab1c91c5d12e0","Thu Apr 01 17:41:00 UTC 2010"
9592668,9,39.2004577,-76.6190667,"Anne Arundel County","100 WARWICKSHIRE LN #D","http://spotcrime.com/crimealert/9592668-c189ab806530bed10dbe087a61bcf49b","Thu Apr 01 17:52:00 UTC 2010"
9592669,4,39.0903237,-76.5371303,"SEVERNA PARK","SOUTH DR/THOMAS AVE","http://spotcrime.com/crimealert/9592669-d2dc80ddb38bb95a734719a9d7e5323d","Thu Apr 01 18:03:00 UTC 2010"
